conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1875916637091860796,2025-01-06T01:11:06.000Z,205,"@Boc4h_Old Sy selalu hindari @jntexpressid kalo belanja online, selain kyk video di atas, mereka lelet dan paket sering nyasar juga",1876073976830869940,,TimTunn26,in,,0,16,8,https://x.com/doArvani/status/1876073976830869940,122124211,doArvani
1875738997257072749,2025-01-05T03:08:35.000Z,3,"@jntexpressid Pelayanan @jntexpressid yang SANGAT SUPER BURUK dan tidak bertanggung jawab atas kerusakan dalam perjalanan, di perbaiki dulu !!

Paket dikirim kondisi baik, nyampai di penerima rusak, dlm perjalanan rusak, tapi dengan berbagai alasan supaya tdk mengganti!!
No: JX3197723315",1875741153133469907,,jntexpressid,in,,0,0,2,https://x.com/angedespoir5/status/1875741153133469907,1084415103661858816,angedespoir5
1875465221273481533,2025-01-04T08:52:07.000Z,2,"temen gw gaada pesen apa2 tetiba dikirim paket COD kek gini sama J&amp;T. dicari nama tokonya di shopee gaada, nomor telfon jg ga kedaftar. Kurir yang nganter dimintain tolong buat retur tapi malah ngotot dan selalu bilang paket dah dikonfirm sama dia @jntexpressid https://t.co/UfTIYTUlhD",1875465221273481533,https://pbs.twimg.com/media/Ggb9rYaa8AEV55W.jpg,,in,,1,7,2,https://x.com/wonupuyo/status/1875465221273481533,1226179146071437312,wonupuyo
1875376614386852111,2025-01-04T05:25:14.000Z,7,"@jntexpressid Hati hati kirim paket melalui J&amp;T.
Paketnya dikirim baik dan rusak dlm perjalanan tidak bertanggung jawab, Ngeles dgn aneka ragam alasan dungu.
Ongkir diterima, tanggung jawab kerusakan di lepeh.
Dibebankan ke pengirim.

J&amp;T mesti belajar kerja tanggung jawab!
No : JX3197723315",1875413155192696974,,jntexpressid,in,,0,4,4,https://x.com/angedespoir5/status/1875413155192696974,1084415103661858816,angedespoir5
1875376614386852111,2025-01-04T03:00:02.000Z,2,"No mager mager kirim paket!
Emang abang kurir J&amp;T paling semangat kalau nganterin paket! Sampai-sampai teriakannya bisa bikin kita langsung lari keluar rumah🤣🤣

Tap like dan komen yuk siapa yang terima paket hari ini?

#jntexpressid #AdaTerusBuatKamu #jntjadibisa https://t.co/kultlU1cIT",1875376614386852111,https://pbs.twimg.com/media/GgXGNB7aoAESSEw.jpg,,in,,0,19,1,https://x.com/jntexpressid/status/1875376614386852111,3253429832,jntexpressid
1874651837917540561,2025-01-03T01:05:23.000Z,0,@jntexpressid Min paket ku belum sampe dari 29 desember 2024. Gimana ini,1874985374231195685,,jntexpressid,in,,0,5,0,https://x.com/purelifee_/status/1874985374231195685,1230063202429390849,purelifee_
1873930883557998994,2024-12-31T03:15:13.000Z,2,"J&amp;T Friends, pada liburan Natal dan Tahun Baru kemana ni? Selama kalian liburan, ada orang-orang berjasa di balik setiap pengiriman paket yang tetap masuk kerja agar paket kalian sampai di depan pintu rumah.✨

Contohnya seperti Doly Putra, Staff Gateway Processing J&amp;T Express https://t.co/CxZx7FSCEh",1873930883557998994,https://pbs.twimg.com/media/GgGKKaHb0AAeg3a.jpg,,in,,0,6,0,https://x.com/jntexpressid/status/1873930883557998994,3253429832,jntexpressid
1873553137728164180,2024-12-30T07:11:53.000Z,0,"@Ndn23Shade @JNE_ID @jntexpressid Hai kak Udin, mohon maaf untuk ketidaknyamanannya. Perihal paket kakak kami respon via DM ya, mohon ditunggu. Thanks ^Saki",1873628057803849999,,Ndn23Shade,in,,0,1,0,https://x.com/JNECare/status/1873628057803849999,2365077614,JNECare
1873564678267490781,2024-12-30T03:00:03.000Z,4,"🚨 𝗛𝗘𝗕𝗢𝗛🚨

Kirim paket berat pakai J&amp;T HEBOH, ongkir lebih ringan ! Ongkir mulai dari Rp 3.000/kg untuk berat 3-10kg.

Cus, segera kirim paket pakai 𝗝&amp;𝗧 𝗛𝗘𝗕𝗢𝗛 sekarang juga!

*S&amp;K Berlaku. ongkir setiap kota berbeda.

#JNTHEBOH #jntexpressid #jntjadibisa https://t.co/eAy6IjHZ6O",1873564678267490781,https://pbs.twimg.com/media/GewLlg4b0AA5a9Q.jpg,,in,,0,1,1,https://x.com/jntexpressid/status/1873564678267490781,3253429832,jntexpressid
1872915392122827050,2024-12-28T08:00:01.000Z,2,"gempa tetap kirim paket 📦

credit TikTok rianjuliadi3

#jntexpressid #fyp #viral #jntjadibisa #AdaTerusBuatKamu https://t.co/ysv9ZnyzKv",1872915392122827050,https://pbs.twimg.com/ext_tw_video_thumb/1867511833642643457/pu/img/1pRDzXnHSgSC2pcn.jpg,,in,,0,15,0,https://x.com/jntexpressid/status/1872915392122827050,3253429832,jntexpressid
1872855940812431712,2024-12-28T04:03:46.000Z,79,"Status paket anda masih glundang glundung

Tt jntexpressid https://t.co/K8VPUO4dDg",1872855940812431712,https://pbs.twimg.com/amplify_video_thumb/1872855874357907456/img/Jjk5BtTzyO_YaDHG.jpg,,in,,1,124,1,https://x.com/praditavanjava/status/1872855940812431712,1189801067753562114,praditavanjava
1872202245649113561,2024-12-26T12:16:41.000Z,4,"@Jerseyforum @jntexpressid Saran biar ga mancing kurir nakal, pas ngirim paket kalo ditanya isinya blg aja “baju”, klo ditanya lg baju apa blg aj “baju kaos”, jgn nyebut jersey.. kalo pake label resi dari marketplace jgn tempel bagian Nama item nya, gunting aja. Alhamdulillah sampe skrg ke medan-papua aman",1872255208866341200,,Jerseyforum,in,,0,0,1,https://x.com/Resurrected_ID/status/1872255208866341200,1572433545624420352,Resurrected_ID
1871828234796478598,2024-12-25T08:00:02.000Z,3,"Pantesan paket natal dari Santa Claus gak pernah telat. Ternyata J&amp;T Express rahasianya 🚚📦

J&amp;T Express memastikan seluruh paket sampai ke tujuan tepat waktu, biar Santa istirahat dulu.

#jntexpressid #jntjadibisa #AdaTerusBuatKamu https://t.co/S5l43oTlAm",1871828234796478598,https://pbs.twimg.com/media/GfJdr9RasAEf7VY.jpg,,in,,0,8,0,https://x.com/jntexpressid/status/1871828234796478598,3253429832,jntexpressid
1871465846784274784,2024-12-24T08:00:02.000Z,2,"Hai J&amp;T Friends,
Jika ada pertanyaan atau kendala seputar paket J&amp;T Express kamu, jangan ragu untuk menghubungi call center di hotline atau live chat. Tim call center J&amp;T Express siap membantu kamu 24/7 📞

#jntexpressid #jntjadibisa #AdaTerusBuatKamu https://t.co/nfRVXJlb2W",1871465846784274784,https://pbs.twimg.com/media/GfJMAF5aUAAXjME.jpg,,in,,0,8,1,https://x.com/jntexpressid/status/1871465846784274784,3253429832,jntexpressid
1871390351535038915,2024-12-24T03:00:03.000Z,5,"Nikmati momen hari spesialmu tanpa perlu ovt pengiriman paket, karena J&amp;T Express tetap beroperasi di hari libur natal dan tahun baru 2025~

Tap 2x yang tetap kirim/terima paket dari J&amp;T Express di hari libur 🙋‍♀️🙋

#jntexpressid #jntjadibisa #AdaTerusBuatKamu https://t.co/mMoOt2Cljb",1871390351535038915,https://pbs.twimg.com/media/GfJLjmMbYAApiEv.jpg,,in,,0,12,1,https://x.com/jntexpressid/status/1871390351535038915,3253429832,jntexpressid
1871103453625532567,2024-12-23T10:30:38.000Z,5,"@jntexpressid J&amp;T belajar bertanggung jawab ya, paket saya di pickup dalam kondisi baik oleh kurir, kemudian diterima pembeli ada masalah, ini artinya dalam perjalanan ada keteledoran dari J&amp;T, jadi J&amp;T wajib bertanggung jawab, jangan malah ngeles dg berbagai alasan
No: JX3197723315",1871141358817391024,,jntexpressid,in,,1,5,4,https://x.com/angedespoir5/status/1871141358817391024,1084415103661858816,angedespoir5
